id,Koulun nimi,name,desc,precision,latitude,longitude,1a. Onko koulussanne ollut tai onko koulussanne tällä hetkellä,1b. Onko havaittu ongelma vielä olemassa?,1c. Tarkenna halutessasi vastausta,2a. Miten tilanne on varmennettu rakennusteknisesti tai muilla tutkimuksilla?,2b. Tarkenna halutessasi vastausta,3. Minä vuonna ongelma on havaittu?,4a. Onko kouluterveydenhuolto selvittänyt oppilaiden oireilua tai sairastumista?,4b. Onko työterveyshuolto selvittänyt työntekijöiden oireilua tai sairastumista?,5. Onko koulunne oppilaita siirretty muihin tiloihin ongelmien vuoksi?,"6. Arvionne, millä summalla korjaustöitä on tehty?",7. Onko teille myönnetty näihin korjauksiin valtion kohdentamaa tukea?,8. Mitä esteitä on tullut ongelman hoitamisessa ja rakennuksen kuntoon saattamisessa?,Koulurakennuksen rakennusvuosi,Peruskoulun oppilasmäärä
1,Otsolan koulu,"Hiidenkirnuintie 2, 48770 Kotka","Hiidenkirnuntie 2, FI-48770 Kotka, Finland",address,60.53203,26.95712,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,Viimeisen 10 vuoden aikana. Aiemmin on ollut ja ne on korjattu 2005.,Muulla kuntoarviolla,,,,,,,,,1954,234
2,Mansikkalan koulu,"Koulukatu 2, 55100 Imatra","Koulukatu 2, FI-55100 Imatra, Finland",address,61.18413,28.77749,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2014,Ei,Ei,Kyllä,10 000 – 100 000 €,Ei,Korjauksista huolimatta osalla henkilöstöä oireilu jatkuú edelleen,1968,360
3,Korkeakosken koulu,"Veikkolantie 9, 48720 Kotka","Veikkolantie 9, FI-48720 Kotka, Finland",address,60.53718,26.9009,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ilmanvaihtohormeja ei ole putsattu ikinä (asennettu -97). Kiinteistönhoito on ollut täysin retuperällä.<br />Ihmiset oireilevat.<br />Lisäksi osassa koulun tiloja jatkuva viemärin haju.,Ei millään em. tavalla,"Rakennukselle on tehty kuntotutkimus, mutta em. ongelmia ei ole erityisesti vielä tutkittu. <br />Ihmisten oireilun myötä asiaa on laitettu koulun taholta eteenpäin.",2012,En osaa sanoa,Ei,Ei,0 – 10 000 €,En osaa sanoa,"Koulut ovat sisäisellä vuokralla rakennuksessa. Kiinteistöstä huolehtii tilapalvelu, jonka toiminta ei ole tyydyttänyt.",1955,195
4,Haga skola,"Kustaa III:n Polku 2, 65380 Vasa, Finland","Kustaa III:n polku 2, FI-65380 Vaasa, Finland",address,63.0818666,21.7183045,kosteus- ja homeongelma,,"On ollut, mutta korjattu...",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2010,Ei,Ei,Ei,10 000 – 100 000 €,En osaa sanoa,Rahaesteitä... Ja ensiksi korjattiin vaan osan ja sitten on tullut lisää korjauksia...<br /><br />Kuntien rahaongelmat näkyy tässäkin. onneksi lapset eivär ole reagoneet ongelmiin...,1984,117
5,Ranuan yläaste,"Pappilantie 4, 97700 Ranua","Pappilantie 4, FI-97700 Ranua, Finland",address,65.92914,26.53279,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ongelman selvitys on kesken. Kellareista on löydetty hometta ja kosteutta. Sisäilmaongelma voi johtua siitä tai on jotain muutakin...,Muulla kuntoarviolla,Kunnan oma tekninen toimi on tehnyt omia tutkimuksia.<br />Terveystarkastaja on ottanut näytteitä.<br />Kuntokartoitus on tarkoitus tehdä kun löytyy tekijä...,2014,Kyllä,Ei,Kyllä,0 – 10 000 €,Ei,"Ei ole tarkkaa tietoa missä vika on, mikä vaikuttaa mihinkin...",1968,219
6,Suhmuran koulu,Suhmurantie 199 82210 Suhmura,"Suhmurantie 199, FI-82210 Joensuu, Finland",address,62.46544,29.91623,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla; Ei millään em. tavalla,<br />Koululla tehty läänintarkastus ja terveys-ja turvallisuustarkastus 2v. vuoden sisällä/tarkastuksissa ei huomautettavaa sisäilmasta,,,,,,,,2004,122
7,Oikaraisen koulu,"Koulutie 17, 97610 Oikarainen","Koulutie 17, FI-97610 Rovaniemi, Finland",address,66.45544,26.08275,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"On ollut. Vanhan hirsikoulumme rossipohja on putsattu talvella 2015. Tilanne parani, kun pilaantunut maa-aines ja roskat poistettiin. Sateisen kesän jälkeen haju oli koulussa taas melkoinen. Rossipohjaan asennettiin koneellinen tuuletus ja lisäksi kaikkiin luokkiin saatiin ilmanpuhdistajat. Tilanne parani huomattavasti.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,Ks. ed. kohta.,2014,Ei,Ei,Kyllä,0 – 10 000 €,En osaa sanoa,"Asiat lähtivät rullaamaan kiitettävän nopeasti työntekijöiden lisääntyneen oireilun vuoksi. terveystarkastaja ja työsuojeluvaltuutettu olivat armottoman tiukkoja niin, ettei kaupungilla ollut muuta vaihtoehtoa. <br /><br />Suoritetuilla toimenpiteillä tilanne on parantunut huomattavasti ja opireilua ei juuri ole.",1952,33
8,Tiutisen koulu,"Alakoulukuja 8, 48930 Kotka","Alakoulukuja 8, FI-48930 Kotka, Finland",address,60.4691,26.98219,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,Ei,Ei,Ei,Rahaa ei ole käytetty,Ei,,1913,37
9,Liedon Keskuskoulu,"Opintie 1 B, 21420 Lieto, Finland","Opintie 1b, FI-21420 Lieto, Finland",address,60.50158,22.45165,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2013,Kyllä,Ei,Kyllä,10 000 – 100 000 €,En osaa sanoa,,1967,470
10,Vittsar skola,"Gamla Uleåvägen 144, 67410 Karleby","Gamla Uleåvägen 144, FI-67410 Karleby, Finland",address,63.85151,23.2163,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1920,45
11,Imatran Musiikkiopisto,"Virastokatu 1, 55100 Imatra","Virastokatu 1, FI-55120 Imatra, Finland",address,61.19181,28.77868,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Vesi on jo vuosia tullut katon läpi useista eri kohdista. Opettajat, jotka ovat opettaneet III kerroksessa, ovat oireilleet siellä mutta muutettuaan II kerrokseen oireet loppuvat.<br />Toimistossa, jossa ollaan enemmän, silmäoireita, yskää jne",Sisäilmanlaadun tutkimuksilla,Tuloksissa on aina vastaus  'Ei merkittävää haittaa',2005,Ei,Ei,Ei,0 – 10 000 €,Ei,Ilmastointia on yritetty puhdistaa ja säätää. Ei tietoa mikä estää,1986,350
